NOME_PRODUTO,DESCRIÇÃO
CLORIDRATO DE ROPIVACAÍNA,ANESTESICOS LOCAIS
CLORIDRATO DE RUFLOXACINO,ANTIBIOTICOS SISTEMICOS SIMPLES
CLORIDRATO DE SELEGILINA,ANTIPARKINSONIANOS
CLORIDRATO DE SERTRALINA,ANTIDEPRESSIVOS
CLORIDRATO DE SERTRALINA (PORT 344/98 LISTA C1),ANTIDEPRESSIVOS
CLORIDRATO DE SERTRALINA (PORT. 344/98 - LISTA C1),ANTIDEPRESSIVOS
CLORIDRATO DE SERTRALINA (Port. 344/98 - Lista-C1),ANTIDEPRESSIVOS
CLORIDRATO DE SEVELAMER,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
CLORIDRATO DE SIBUTRAMINA,ANOREXICOS SIMPLES
CLORIDRATO DE SIBUTRAMINA MONOIDRATADO,ANOREXICOS SIMPLES
CLORIDRATO DE SOTALOL,BETABLOQUEADORES SIMPLES
CLORIDRATO DE TANSULOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
CLORIDRATO DE TERAZOSIN,ANTI-HIPERTENSIVOS SIMPLES
CLORIDRATO DE TERAZOSINA,ANTI-HIPERTENSIVOS SIMPLES
CLORIDRATO DE TERBINAFINA,ANTIMICOTICOS PARA USO TOPICO
CLORIDRATO DE TERBINAFINA,ANTIMICOTICO
CLORIDRATO DE TERBINAFINA,ANTIMICOTICOS SISTEMICOS
CLORIDRATO DE TETRACAINA,PRODUTOS PARA USO EM ODONTOLOGIA
CLORIDRATO DE TETRACICLINA,ANTIBIOTICOS SISTEMICOS SIMPLES
CLORIDRATO DE TETRACICLINA,CLASSE DAS TETRACICLINAS
CLORIDRATO DE TETRACICLINA,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
CLORIDRATO DE TETRACICLINA + ANFOTERICINA B,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS
CLORIDRATO DE TETRACICLINA + ANFOTERICINA B,PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA
CLORIDRATO DE TETRAHIDROZOLINA,ANTINFLAMATORIOS
CLORIDRATO DE TETRIZOLINA + CLORETO DE METILTIONINIO,DESCONGESTIONATES OFTALMICOS
CLORIDRATO DE TIAGABINA (PORT. 344/98 LISTA C-1),ANTICONVULSIVANTES
CLORIDRATO DE TIAMINA,VITAMINAS E SUPLEMENTOS MINERAIS
CLORIDRATO DE TIAMINA,POLIVITAMINICOS SEM MINERAIS
CLORIDRATO DE TIAMINA,MONOVITAMINAS EXCETO VITAMINA K
CLORIDRATO DE TIAMINA  +  ASSOCIAÇÕES,POLIVITAMINICOS SEM MINERAIS
CLORIDRATO DE TIAMINA + ASSOCIACAO DE VITAMINAS,POLIVITAMINICOS SEM MINERAIS
CLORIDRATO DE TIAMINA + ASSOCIACOES,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS
CLORIDRATO DE TIAMINA + ASSOCIAÇÕES,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS
CLORIDRATO DE TIAMINA + CLORIDRATO DE PIRIDOXINA + ASSOC.,POLIVITAMINICOS COM MINERAIS
CLORIDRATO DE TIAMINA + CLORIDRATO DE PIRIDOXINA + CIANOCOBALAMINA,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS
CLORIDRATO DE TIAMINA ASSOCIADO,VITAMINAS E SUPLEMENTOS MINERAIS
CLORIDRATO DE TIAMINA+CLORIDRATO DE PIRIDOXINA+ASSOC.,POLIVITAMINICOS COM MINERAIS
CLORIDRATO DE TICLOPIDINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
CLORIDRATO DE TICLOPIDINA,ANTITROMBOTICO
CLORIDRATO DE TICLOPIDINA,ANTICOAGULANTES
CLORIDRATO DE TIORIDAZINA (PORT. 344/98 LISTA C 1),NEUROLEPTICOS
CLORIDRATO DE TIZANIDINA,RELAXANTES MUSCULARES CENTRAIS SIMPLES
CLORIDRATO DE TOPOTECANA,ANTINEOPLASICO
CLORIDRATO DE TRAMADOL,ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL (PORT 344/98 - LISTA A2),ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL (PORT 344/98 LISTA A2),ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL (PORT 344/98 LT A2),ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL (PORT. 344/98 - LISTA A2),ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL (PORT. 344/98 LISTA A 2),ANALGESICOS NARCOTICOS
"CLORIDRATO DE TRAMADOL (PORT. 344/98, L-A2)",ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL (PORTARIA 344/98 - LISTA A2),ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL 50 MG/ML,ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAMADOL+PARACETAMOL,ANALGESICOS NARCOTICOS
CLORIDRATO DE TRAZODONA,ANTIDEPRESSIVOS
CLORIDRATO DE TROMANTADINA,ANTIVIROTICOS
CLORIDRATO DE VALACICLOVIR,ANTIVIROTICOS
CLORIDRATO DE VALACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
CLORIDRATO DE VANCOMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES
CLORIDRATO DE VARDENAFILA,VASODILATADORES
CLORIDRATO DE VENLAFAXINA,ANTIDEPRESSIVOS
CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1),ANTIDEPRESSIVOS
CLORIDRATO DE VENLAFAXINA (PORT. 344/98 L-C1),ANTIDEPRESSIVOS
CLORIDRATO DE VERAPAMIL,ANTIANGINOSOS E VASODILATADORES
CLORIDRATO DE VERAPAMILA,ANTI-HIPERTENSIVOS
CLORIDRATO DE ZIPRASIDONA,ANTIPSICOTICOS
CLORIDRATO PILOCARPINA + CLORIDRATO METIPRANOLOL,ANTIGLAUCOMATOSOS
CLORIDRATO TETRACICLINA + ANFOTERICINA B,ANTIMICOTICO
CLORIDRATRO DE TRAZODONA,ANTIDEPRESSIVOS
CLORIDRTO DE LIDOCAINA,ANESTESICOS LOCAIS
CLORIFEN,ANTIBIOTICOS SISTEMICOS SIMPLES
CLORITECAN,ANTINEOPLASICO
CLORIZIN,DIURETICOS SIMPLES
CLOROBUTANOL + ACIDO BORICO,DESCONGESTIONATES OFTALMICOS
CLOROQUINA,ANTIMALARICOS
CLOROQUINA,ANTIPARASITARIOS
CLOROQUINA  DIFOSFATO,ANTIMALARICOS
CLOROQUINA + PRIMAQUINA,ANTIMALARICOS
CLOROQUINA DIFOSFATO,ANTIMALARICOS
CLOROQUINA+PRIMAQUINA,ANTIPARASITARIOS
CLOROXINA,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
CLORPROMAZ,NEUROLEPTICOS
CLORPROMAZINA,NEUROLEPTICOS
CLORPROMAZINA (PORT 344/98 L-C1),NEUROLEPTICOS
CLORPROMINI,ANTIDIABETICOS
CLORPROPAMIDA,ANTIDIABETICOS
CLORPROPAMIN,ANTIDIABETICOS
CLORPROPAMINA,ANTIDIABETICOS
CLORPROPRAMIDA,ANTIDIABETICOS
CLORPROX,NEUROLEPTICOS
CLORTALIDONA,DIURETICOS SIMPLES
CLORTALIDONA,DIURETICOS
CLORTALIL,DIURETICOS SIMPLES
CLORTALITON,DIURETICOS SIMPLES
CLORTANA,DIURETICOS SIMPLES
CLORTIL,ANTI-HIPERTENSIVOS
CLORTON,ANTI-HIPERTENSIVOS
CLOSENID,ANTI-HIPERTENSIVOS
CLOSTEMIN,CICATRIZANTES
CLOTADONA,DIURETICOS SIMPLES
CLOTIGEN,ANTIMICOTICOS PARA USO TOPICO
CLOTREN,ANTIMICOTICOS PARA USO TOPICO
CLOTRIBENE,ANTIMICOTICOS PARA USO TOPICO
CLOTRIDERM,ANTIMICOTICOS PARA USO TOPICO
CLOTRIGEL,ANTIMICOTICOS PARA USO TOPICO
CLOTRIMAZOL,ANTIMICOTICOS PARA USO TOPICO
CLOTRIMAZOL,ANTIMICOTICO
CLOTRIMAZOL + ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
CLOTRIMAZOL + ACETATO DE DEXAMETASONA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
CLOTRIMIX,ANTIMICOTICOS PARA USO TOPICO
CLOTRIZAN,ANTIMICOTICO
CLOTRIZOL,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS
CLOTÁSSIO,SUPLEMENTOS DIETETICOS PROTEICOS
CLOVANTAX,ANTIVIROTICOS
CLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
CLOVITOM,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
CLOXACILINA,PENICILINAS PENICILINASE-RESISTENTES
CLOXAZOLAM,ANSIOLITICOS SIMPLES
CLOXAZOLAM ( PORT 344/98  LT B1),ANSIOLITICOS SIMPLES
CLOXAZOLAM (PORT. 344/98 LT B1),NEUROPSICOESTIMULANTES
CLOZAL,ANSIOLITICOS SIMPLES
CLOZAPINA,NEUROLEPTICOS
CLUSIVOL,POLIVITAMINICOS + SAIS MINERAIS
CLUSIVOL COMPOSTO,POLIVITAMINICOS COM MINERAIS
CO TAREG,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
CO- ENALIL,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
CO- FLOSSOTEC,ANTI-HIPERTENSIVOS
CO-CALCIODORON,ASSOCIACAO HOMEOPATICAS
CO-ENAPROTEC,ANTI-HIPERTENSIVOS
CO-ERYSIDORON,ASSOCIACAO HOMEOPATICAS
CO-LABOPRIL,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
CO-PNEUMODORON,ASSOCIACAO HOMEOPATICAS
CO-PRESSEL,ANTI-HIPERTENSIVOS
CO-PRESSOLESS,ANTI-HIPERTENSIVOS
CO-PRESSOTEC,ANTI-HIPERTENSIVOS
CO-RENITEC,ANTI-HIPERTENSIVOS
CO-RHEUMODORON,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COAGADEX,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
COALY,ANTIAGREGANTE PLAQUETARIO
COARTEM,ANTIMALARICOS
COBACTIN,ESTIMULANTES DO APETITE
COBAGLOBAL,ESTIMULANTES DO APETITE
COBALAMIN 12,ANTIANEMICOS
COBALDOZE,ANTIANEMICOS SIMPLES
COBALPLEX,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS
COBAMAMIDA + CLORIDRATO DE CIPROEPTADINA,ESTIMULANTES DO APETITE
COBAPETIT,ESTIMULANTES DO APETITE
COBAVITAL,ESTIMULANTES DO APETITE
COBRE  I TETRAQUIS TETRAFLUOR-BORATO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
COCICHIMIL,ANTINFLAMATORIOS ANTIREUMATICOS
COCINAX,ANTIGOTOSOS
COD,ANALGESICOS NARCOTICOS
COD PAR,ANALGESICOS NARCOTICOS
CODATEN,ANALGESICOS NARCOTICOS
CODEIN,ANALGESICOS NARCOTICOS
CODERGINE,VASODILATADORES CEREBRAIS
CODERHEXAL,VASODILATADORES CEREBRAIS
CODEX,ANALGESICOS NARCOTICOS
CODEÍNA + GUAICOLATO DE GLICERINA + FENILTOLOXAMINA,ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS
CODOFEN,ANALGESICOS NAO NARCOTICOS
CODRINAN,BRONCODILATADORES
CODYLEX,ANALGESICOS NARCOTICOS
COENAPLEX,ANTI-HIPERTENSIVOS
COEX,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
COEZYME COMPOSITUM,ASSOCIACAO HOMEOPATICAS
COGIT,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
COGLIVE,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
COGNITUS,FITOTERAPICO SIMPLES + OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
COGNIVA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
COLA CIRÚRGICA,ANTI-HEMORRAGICOS
COLACHOFRA,COLAGOGOS E COLERETICOS
COLAGENASE + CLORANFENICOL,CICATRIZANTES
COLAXOL,CICATRIZANTES
COLCHICINA,ANTIGOTOSOS
COLCHICINA,ANTINFLAMATORIOS ANTIREUMATICOS
COLCHIN,ANTINFLAMATORIOS ANTIREUMATICOS
COLCHIS,ANTIGOTOSOS
COLEDUE,ANTILIPEMICOS
COLESTASE,ANTIDIARREICOS-ASSOCIACOES MEDICAMENTOSAS
COLEVACOL,ANTILIPEMICOS
COLIAFT,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
COLIPAN,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
COLIRIO BLUMEN,DESCONGESTIONATES OFTALMICOS
COLIRIO BOA VISTA,ASSOCIACAO HOMEOPATICAS
COLIS-TEK,ANTIBIOTICOS SISTEMICOS SIMPLES
COLISEC,ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA
COLISTIMETATO DE SÓDIO,ANTIBIOTICOS SISTEMICOS SIMPLES
COLLECTRO,ANTINEOPLASICO
COLLECTRO,CITOSTATICOS ALQUILANTES
COLOBIL,PRODUTOS HOMEOPATICOS
COLOBIL,MEDICAMENTOS DINAMIZADOS COMPOSTOS + OUTROS DIGESTIVOS
COLOHALER,ANTIBACTERIANO
COLOIDE DE ALBUMINA,CONTRASTES RADIOLOGICOS
COLOMETIN,COLAGOGOS E COLERETICOS + FITOTERAPICOS ASSOCIADOS
COLOMYCIN,ANTIBIOTICOS SISTEMICOS SIMPLES
COLONAC,LAXANTES SUAVIZADORES OU EMOLIENTES
COLPADAK,ANTIMICOTICO
COLPAGEX N,PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA
COLPATRIN,PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA
COLPIGYN,PRODUTOS GINECOLOGICOS TOPICOS
COLPISDAZOL,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS
COLPIST MT,PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA
COLPISTAR,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
COLPISTATIN,PRODUTOS GINECOLOGICOS TOPICOS
COLPLEN,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS"
COLPOTROFINE,ESTROGENOS SIMPLES
COLTRAX,RELAXANTES MUSCULARES CENTRAIS SIMPLES
COLTRAX INJ,RELAXANTES MUSCULARES CENTRAIS SIMPLES
COLTRIENO,ESTROGENOS SIMPLES
COLUBIAZOL,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
COLUJET,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
COLUTÓIDE,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
COLUTÓIDE CAMOMILA,ANTINFLAMATORIOS
COLZURIC,ANTIGOTOSOS
COLÍRIO CINERARIA MARITIMA SIMOES,MEDICAMENTOS COM ACAO NO APARELHO VISUAL
COLÍRIO DE CINERÁRIA MARÍTIMA,FITOTERAPICO SIMPLES
COLÍRIO DE CINERÁRIA MARÍTIMA ALMEIDA PRADO,MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO
COLÍRIO DE EUPHRASIA OFFICINALIS ALMEIDA PRADO,MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO
COLÍRIO FENILEFRINA 10% OCULUM,MIDRIATICOS
COLÍRIO GEOLAB,DESCONGESTIONATES OFTALMICOS
COLÍRIO HÉLIOS,DESCONGESTIONATES OFTALMICOS
COLÍRIO LEGRAND,DESCONGESTIONATES OFTALMICOS
COLÍRIO MOURA BRASIL,DESCONGESTIONATES OFTALMICOS
COLÍRIO NEO BRASIL,DESCONGESTIONATES OFTALMICOS
COLÍRIO TEUTO,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL
COMBACTAN,PENICILINAS PENICILINASE-RESISTENTES
COMBECÊ,POLIVITAMINICOS COM MINERAIS
COMBEVIT,ESTIMULANTES DO APETITE
COMBIGAN,ANTIGLAUCOMATOSOS
COMBILEST,ESTROGENOS SIMPLES
COMBIRON,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS
COMBIRON FÓLICO,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS
COMBITREX,ANTINFECCIOSOS TOPICOS
COMBIVENT,BRONCODILATADORES
COMBIZYM COMPOSTO,DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS
COMBODART,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
COMBUDORON,PRODUTOS HOMEOPATICOS
COMBULCER,ANTIULCEROSOS
COMIRNATY,VACINAS
COMPAZ,ANSIOLITICOS SIMPLES
COMPAZ RETARD,ANSIOLITICOS SIMPLES
COMPLE B,POLIVITAMINICOS SEM MINERAIS
COMPLEVITAN,POLIVITAMINICOS SEM MINERAIS
COMPLEX B,VITAMINAS E SUPLEMENTOS MINERAIS
COMPLEX PHARMATON,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS
COMPLEXAN,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B,VITAMINAS E SUPLEMENTOS MINERAIS
COMPLEXO B,VITAMINAS
COMPLEXO B,COMPLEXO VITAMÍNICO B (SOMENTE)
COMPLEXO B + C,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B + COMPLEXO C,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B + LEVEDO DE CERVEJA,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B 12,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B 12 XPE,COMPLEXO VITAMÍNICO B (SOMENTE)
COMPLEXO B EMS,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B GRANADO,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B MEDIQUÍMICA,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B MEDQUÍMICA,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B MONTENEGRO,POLIVITAMINICOS SEM MINERAIS
COMPLEXO B TEUTO,POLIVITAMINICOS SEM MINERAIS
COMPLEXO HOMEOPATICO SENECIO ALMEIDA PRADO 33,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO ACONITUM ALMEIDA PRADO 2,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO ACTAEA ALMEIDA PRADO 27,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO AESCULUS ALMEIDA PRADO 20,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO ALOE SOCOTRINA ALMEIDA PRADO 25,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO ANTIMONIUM TARTÁRICO ALMEIDA PRADO 50,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO APIS ALMEIDA PRADO Nº15,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO ARGENTUM NITRICUM ALMEIDA PRADO Nº19,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO ARNICA MONTANA ALMEIDA PRADO Nº45,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO ARSENICUM IODATUM ALMEIDA PRADO 34,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO BARYTA CARBONICA ALMEIDA PRADO 06,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO BELLADONNA ALMEIDA PRADO 42,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO BERBERIS VULGARIS ALMEIDA PRADO 12,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO BORAX ALMEIDA PRADO 43,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO CALCAREA PHOSPHORICA ALMEIDA PRADO 24,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO CANTHARIS ALMEIDA PRADO 16,MEDICAMENTOS DINAMIZADOS COMPOSTOS + OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
COMPLEXO HOMEOPÁTICO CAULOPHYLLUM ALMEIDA PRADO 26,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO CAUSTICUM ALMEIDA PRADO 09,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO CHAMOMILLA  ALMEIDA PRADO 23,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO CHELIDONIUM ALMEIDA PRADO 11,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO COCCULUS ALMEIDA PRADO 38,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO COLOCYNTHIS ALMEIDA PRADO 36,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO CYCLAMEN ALMEIDA PRADO 29,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO DROSERA ALMEIDA PRADO 39,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO GELSEMIUM ALMEIDA PRADO 5,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO GRAPHITES ALMEIDA PRADO 44,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO HAMAMELIS ALMEIDA PRADO 21,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO HEPAR SULPHURIS ALMEIDA PRADO 8,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO HYDRASTIS ALMEIDA PRADO 3,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO IGNATIA ALMEIDA PRADO 35,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO IPECA ALMEIDA PRADO 10,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO IRIS ALMEIDA PRADO 1,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO LACHESIS ALMEIDA PRADO 28,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO LOBELIA ALMEIDA PRADO 49,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO LYCOPODIUM ALMEIDA PRADO 13,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO NUX VOMICA ALMEIDA PRADO 14,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO PHYTOLACCA ALMEIDA PRADO 48,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO PLANTAGO MAJOR ALMEIDA PRADO 7,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO PULSATILLA ALMEIDA PRADO 41,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO SABADILLA ALMEIDA PRADO 4,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO SAMBUCUS ALMEIDA PRADO 47,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO SILICEA ALMEIDA PRADO 40,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO THUYA ALMEIDA PRADO 18,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO HOMEOPÁTICO URTICA ALMEIDA PRADO 37,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO UVA URSI ALMEIDA PRADO 17,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEOPÁTICO VERATRUM ALBUM ALMEIDA PRADO 22,ASSOCIACAO HOMEOPATICAS
COMPLEXO HOMEPÁTICO AESCULUS ALMEIDA PRADO 20,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO PROTROMBINICO HUMANO LIOF,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO"
COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
"COMPLEXO PROTROMBINICO HUMANO PPSB DE 250 UI,500 UI E 100OUI",FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
COMPLEXO RHUS TOXICODENDRON ALMEIDA PRADO 32,MEDICAMENTOS DINAMIZADOS COMPOSTOS
COMPLEXO SENNA ALMEIDA PRADO Nº 46,LAXANTES
COMPLEXO VITAMINICO B,POLIVITAMINICOS SEM MINERAIS
COMPLEXO VITAMINICO PARA CRIANCAS,POLIVITAMINICOS SEM MINERAIS
COMPLEXO VITAMÍNICO BEPLEX,POLIVITAMINICOS SEM MINERAIS
COMPRIMIDOS EFERVESCENTES DE CLORETO DE POTÁSSIO,ELETROLITOS SIMPLES
COMTAN,ANTIPARKINSONIANOS
CONACORT,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
CONAZOL,ANTIMICOTICOS PARA USO TOPICO
CONC. P/HEMODIALISE C/ CA E SEM K,PRODUTOS PARA HEMODIALISE
CONCENTRADO ACIDO P/HEMODIALISE E P/MAQUINAS,PRODUTOS PARA HEMODIALISE
CONCENTRADO DE FATOR IX,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
CONCENTRADO DE FATOR VIII,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS
CONCENTRADO DE FATOR VIII DE 250 UI 500 E 1000 UI,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
CONCENTRADO DE FATOR VIII-FATOR ANTI-HEMOFILICO HUMANO,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO"
"CONCENTRADO P/ HEMODIALISE COM BICARBONATO A 8,4%",PRODUTOS PARA HEMODIALISE
"CONCENTRADO P/HEMODIALISE C/BICARBONATO,SODIO 140,S/GLICOSE",PRODUTOS PARA HEMODIALISE
CONCENTRADO PARA HEMODIALISE,PRODUTOS PARA HEMODIALISE
CONCENTRADO PARA HEMODIALISE ACETATO,PRODUTOS PARA HEMODIALISE
CONCENTRADO PARA HEMODIALISE BICARBONATADO,PRODUTOS PARA HEMODIALISE
CONCENTRADO PARA HEMODIÁLISE COM BICARBONATO DE SODIO 140,PRODUTOS PARA HEMODIALISE
CONCEPNOR,ANTICONCEPCIONAIS
CONCERTA,PSICOANALETICOS
CONCOR,BETABLOQUEADORES SIMPLES
CONCOR ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
CONCOR HCT,DIURETICOS ASSOCIADOS A BETABLOQUEADORES
